settlement_type,old_name,new_name,raion,oblast,date_rename,decision_rename,who_rename,decision-publish_rename,vidomosti
селище,Більшовик,Троїцьке,Первомайський,Харківська,19.05.2016,1377-VIII. ч. 6,Верховна Рада України,10.06.2016,"24, ст. 497"
село,Біньова,Беньова,Турківський,Львівська,06.09.2013,557-VII,Верховна Рада України,23.05.2014,"20-21, ст. 747"
село,Бірок,Бірки,Дубенський,Рівненська,23.09.2008,581-VI,Верховна Рада України,06.02.2009,"6, ст.64"
смт,Бірюкове,Бірюкове,Довжанський,Луганська,12.05.2016,"1351-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 477"
смт,Бірюкове,Криничне,Довжанський,Луганська,12.05.2016,"1351-VIII, ч. 2",Верховна Рада України,03.06.2016,"23, ст. 477"
місто,Благовіщенське,Благовіщенське,Благовіщенський,Кіровоградська,29.07.2016,,Кіровоградська обласна рада,13.01.2017,"2, с. 52"
село,Благоєве,Христо-Ботеве,Комінтернівський,Одеська,19.05.2016,1377-VIII. ч. 5,Верховна Рада України,10.06.2016,"24, ст. 497"
село,Благоєве,Великий Буялик,Іванівський,Одеська,19.05.2016,1377-VIII. ч. 5,Верховна Рада України,10.06.2016,"24, ст. 497"
село,Благоєве,Мартове,Великомихайлівський,Одеська,12.05.2016,"1353-VIII, ч. 3",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Бобове,Тисобикень,Виноградівський,Закарпатська,19.10.2000,2060-III,Верховна Рада України,08.12.2000,"49, ст.433"
село,Богданівка,Синьків,Заліщицький,Тернопільська,31.10.1990,424-XII,Верховна Рада України,13.11.1990,"46, ст. 615"
село,Бодачів,Бодячів,Сокальський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 618"
село,Бодолів,Бадалово,Берегівський,Закарпатська,21.09.1991,1592-XII,Верховна Рада України,03.12.1991,"49, ст. 698"
село,Болоні,Болоня,Миколаївський,Львівська,19.09.1989,,Львівська обласна рада,24.10.1989,"43, стор. 617-618"
село,Борова,Борові,Жовківський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 252-253"
село,Бородівка,Барбово,Мукачівський,Закарпатська,02.03.1995,137/95-ПВ,Верховна Рада України,04.04.1995,"14, ст. 98"
село,Боротьбарівка,Боротьба,Прилуцький,Чернігівська,01.01.1987,,Чернігівська обласна рада,16.04.2004,"16, стор. 576"
село,Бортятине,Бортятин,Мостиський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 251"
смт,Ботанічне,Нікіта,Ялта,Автономна Республіка Крим,22.02.1991,767-XII,Верховна Рада України,19.03.1991,"12, ст. 137"
смт,Брагинівка,Залізничне,Петропавлівський,Дніпропетровська,19.05.2016,1374-VIII,Верховна Рада України,10.06.2016,"24, ст. 494"
село,Брагинівка,Богинівка,Петропавлівський,Дніпропетровська,12.05.2016,"1353-VIII, ч. 1",Верховна Рада України,03.06.2016,"23, ст. 479"
село,Братове,Братово,Виноградівський,Закарпатська,06.04.1995,,Закарпатська обласна рада,06.06.1995,"23, стор. 515-516"
село,Братово,Ботар,Виноградівський,Закарпатська,19.10.2000,2060-III,Верховна Рада України,08.12.2000,"49, ст.433"
село,Брахів,Брахівка,Буський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 251"
смт,Броницька Гута,Броницька Гута,Новоград-Волинський,Житомирська,17.04.1997,,Житомирська обласна рада,01.07.1997,"26, стор. 451-452"
село,Буданівка,Бліх,Зборівський,Тернопільська,09.08.1991,1416-XII,Верховна Рада України,24.09.1991,"39, ст. 516"
село,Будокам'янка,Буди,Жовківський,Львівська,18.12.1990,,Львівська обласна рада,03.03.1992,"9, стор. 252-253"
